question,option,base_x,base_y,best_dx,best_dy,score,inner_darkness,disk_darkness,ring_darkness,dark_frac_100,dark_frac_120,dark_frac_140,final_answer,final_status
33,A,232.0,1747.0,1,3,188.54234731637032,215.45679012345678,190.0,176.70967741935482,0.7400530503978779,0.8408488063660478,0.9442970822281167,C,answered
33,B,268.0,1747.0,0,3,126.58734878999248,144.34567901234567,134.58620689655174,128.64112903225805,0.10344827586206896,0.5251989389920424,0.8381962864721485,C,answered
33,C,304.0,1747.0,-2,3,188.47940039951533,219.76543209876542,189.51458885941645,168.0483870967742,0.726790450928382,0.7904509283819628,0.9204244031830239,C,answered
33,D,338.0,1747.0,-1,1,111.1126528473655,134.08641975308643,125.9893899204244,122.71370967741936,0.005305039787798408,0.3183023872679045,0.7586206896551724,C,answered
34,A,232.0,1784.0,1,0,206.0216881160559,222.49382716049382,219.41909814323608,208.44758064516128,1.0,1.0,1.0,A,answered
34,B,268.0,1784.0,-1,1,126.21346497691324,151.4074074074074,131.3793103448276,127.45161290322581,0.0610079575596817,0.44562334217506633,0.7904509283819628,A,answered
34,C,302.0,1784.0,0,-3,110.21429315256903,128.96296296296296,128.29442970822282,132.58467741935482,0.013262599469496022,0.34748010610079577,0.8116710875331565,A,answered
34,D,338.0,1783.0,-3,1,118.58755476962374,138.7037037037037,129.89389920424404,126.53225806451613,0.01856763925729443,0.4270557029177719,0.7824933687002652,A,answered
53,A,593.0,1025.0,-1,0,203.8785830304221,220.06172839506172,215.71087533156498,202.5,1.0,1.0,1.0,A,answered
53,B,629.0,1025.0,-1,-3,128.75084847889445,151.91358024691357,132.24403183023873,126.30241935483872,0.07957559681697612,0.5013262599469496,0.7586206896551724,A,answered
53,C,664.0,1024.0,-2,-2,111.35765333857289,132.71604938271605,125.25729442970822,125.5483870967742,0.005305039787798408,0.35013262599469497,0.6631299734748011,A,answered
53,D,698.0,1024.0,-1,-3,113.4850725349576,135.64197530864197,127.49071618037135,125.90725806451613,0.0,0.35278514588859416,0.7931034482758621,A,answered
103,A,948.0,1180.0,-1,3,196.17925500212857,223.39506172839506,199.57824933687002,181.55241935483872,0.8090185676392573,0.8726790450928382,0.9575596816976127,A,answered
103,B,984.0,1180.0,-1,3,126.08145561122572,147.1358024691358,132.395225464191,123.21774193548387,0.09814323607427056,0.493368700265252,0.7904509283819628,A,answered
103,C,1021.0,1180.0,-2,-1,123.31364803353308,142.71604938271605,132.3899204244032,128.90725806451613,0.0636604774535809,0.47745358090185674,0.8090185676392573,A,answered
103,D,1055.0,1180.0,0,0,128.8014130399188,144.90123456790124,136.70291777188328,130.78225806451613,0.13262599469496023,0.5543766578249337,0.8408488063660478,A,answered
143,A,1309.0,1037.0,0,3,206.33067655630873,225.54320987654322,215.6206896551724,202.90725806451613,0.9628647214854111,0.9973474801061007,1.0,A,answered
143,B,1345.0,1037.0,-1,3,143.28427514163147,157.20987654320987,144.9840848806366,143.71774193548387,0.22811671087533156,0.7188328912466844,1.0,A,answered
143,C,1379.0,1037.0,-2,3,143.59621770311423,150.85185185185185,147.3846153846154,147.52822580645162,0.30238726790450926,0.7931034482758621,1.0,A,answered
143,D,1413.0,1037.0,0,3,156.80248943904115,158.96296296296296,155.76127320954907,157.60887096774195,0.5437665782493368,0.9655172413793104,1.0,A,answered
45,A,232.0,2067.0,0,0,,223.7283950617284,220.41379310344828,210.23790322580646,1.0,1.0,1.0,FINAL_ROW_PREVIOUS,
45,A,232.0,2090.0,0,0,,120.83950617283949,116.0450928381963,118.43548387096774,0.002652519893899204,0.20954907161803712,0.40583554376657827,FINAL_ROW_LAST,
45,B,268.0,2068.0,0,0,,148.03703703703704,134.3660477453581,134.86290322580646,0.03978779840848806,0.5039787798408488,0.8912466843501327,FINAL_ROW_PREVIOUS,
45,B,271.0,2090.0,0,0,,127.24691358024691,120.10079575596816,120.17741935483872,0.013262599469496022,0.22546419098143236,0.4270557029177719,FINAL_ROW_LAST,
45,C,302.0,2066.0,0,0,,127.74074074074075,125.21750663129973,129.99193548387098,0.0,0.23607427055702918,0.7559681697612732,FINAL_ROW_PREVIOUS,
45,C,305.0,2090.0,0,0,,128.0246913580247,116.93103448275863,115.56451612903226,0.002652519893899204,0.22015915119363394,0.41644562334217505,FINAL_ROW_LAST,
45,D,336.0,2067.0,0,0,,138.0,125.9681697612732,127.27016129032258,0.013262599469496022,0.2864721485411141,0.7082228116710876,FINAL_ROW_PREVIOUS,
45,D,339.0,2090.0,0,0,,123.67901234567901,113.0583554376658,112.85483870967741,0.0,0.1989389920424403,0.34748010610079577,FINAL_ROW_LAST,
90,A,594.0,2060.0,0,0,,227.19753086419752,224.23872679045093,214.79032258064515,1.0,1.0,1.0,FINAL_ROW_PREVIOUS,
90,A,595.0,2087.0,0,0,,144.4320987654321,141.21750663129973,138.2540322580645,0.26525198938992045,0.53315649867374,1.0,FINAL_ROW_LAST,
90,B,630.0,2059.0,0,0,,159.17283950617283,141.59416445623341,140.7943548387097,0.23872679045092837,0.6312997347480106,0.9628647214854111,FINAL_ROW_PREVIOUS,
90,B,629.0,2086.0,0,0,,135.8395061728395,133.20159151193633,130.02822580645162,0.16445623342175067,0.4509283819628647,0.7718832891246684,FINAL_ROW_LAST,
90,C,666.0,2058.0,0,0,,140.12345679012344,134.6206896551724,139.30645161290323,0.05305039787798409,0.5092838196286472,0.9257294429708223,FINAL_ROW_PREVIOUS,
90,C,665.0,2085.0,0,0,,134.91358024691357,132.79840848806367,129.78225806451613,0.13793103448275862,0.3952254641909814,0.8169761273209549,FINAL_ROW_LAST,
90,D,700.0,2057.0,0,0,,144.5679012345679,138.6551724137931,141.6693548387097,0.07957559681697612,0.6047745358090185,0.946949602122016,FINAL_ROW_PREVIOUS,
90,D,701.0,2085.0,0,0,,130.4074074074074,131.9920424403183,127.40322580645162,0.14323607427055704,0.41114058355437666,0.7559681697612732,FINAL_ROW_LAST,
135,A,951.0,2052.0,0,0,,154.17283950617283,134.3501326259947,136.46774193548387,0.1273209549071618,0.4297082228116711,0.8594164456233422,FINAL_ROW_PREVIOUS,
135,A,951.0,2080.0,0,0,,126.41975308641975,126.64190981432361,120.97177419354838,0.06896551724137931,0.3660477453580902,0.6074270557029178,FINAL_ROW_LAST,
135,B,987.0,2052.0,0,0,,152.96296296296296,136.57824933687004,137.125,0.13527851458885942,0.5437665782493368,0.8779840848806366,FINAL_ROW_PREVIOUS,
135,B,987.0,2080.0,0,0,,125.07407407407408,126.72679045092838,121.63306451612902,0.07427055702917772,0.3687002652519894,0.6127320954907162,FINAL_ROW_LAST,
135,C,1024.0,2052.0,0,0,,135.49382716049382,133.10344827586206,139.09677419354838,0.04509283819628647,0.4588859416445623,0.8594164456233422,FINAL_ROW_PREVIOUS,
135,C,1024.0,2080.0,0,0,,128.14814814814815,129.75066312997347,124.21774193548387,0.11936339522546419,0.41379310344827586,0.6631299734748011,FINAL_ROW_LAST,
135,D,1059.0,2052.0,0,0,,150.53086419753086,139.26259946949602,140.39516129032256,0.13793103448275862,0.5915119363395226,0.9549071618037135,FINAL_ROW_PREVIOUS,
135,D,1059.0,2079.0,0,0,,131.7530864197531,130.0742705570292,126.87903225806451,0.11140583554376658,0.35809018567639256,0.6923076923076923,FINAL_ROW_LAST,
180,A,1312.0,2052.0,0,0,,231.60493827160494,221.80636604774537,205.65725806451613,1.0,1.0,1.0,FINAL_ROW_PREVIOUS,
180,A,1311.0,2080.0,0,0,,148.23456790123458,150.53315649867375,146.9233870967742,0.38461538461538464,0.7984084880636605,1.0,FINAL_ROW_LAST,
180,B,1347.0,2048.0,0,0,,174.5925925925926,162.81432360742707,161.93951612903226,0.713527851458886,1.0,1.0,FINAL_ROW_PREVIOUS,
180,B,1346.0,2080.0,0,0,,152.679012345679,152.20954907161803,150.97177419354838,0.3952254641909814,0.9655172413793104,1.0,FINAL_ROW_LAST,
180,C,1381.0,2047.0,0,0,,155.23456790123458,155.34217506631302,159.56854838709677,0.5278514588859416,0.9708222811671088,1.0,FINAL_ROW_PREVIOUS,
180,C,1380.0,2080.0,0,0,,149.22222222222223,146.84615384615384,148.0241935483871,0.32625994694960214,0.6763925729442971,1.0,FINAL_ROW_LAST,
180,D,1414.0,2047.0,0,0,,161.1851851851852,155.81962864721487,157.65725806451613,0.5676392572944297,0.9389920424403183,1.0,FINAL_ROW_PREVIOUS,
180,D,1413.0,2080.0,0,0,,147.60493827160494,143.34217506631302,144.36693548387098,0.2625994694960212,0.5623342175066313,1.0,FINAL_ROW_LAST,
